date,open,high,low,close,volume,amount
2013-04-15,15622.40,15827.20,15292.10,15493.90,12187287552.00,110220771328.00
2013-04-16,15169.90,15581.60,14968.20,15473.50,13164094464.00,121139560448.00
2013-04-17,15255.80,15524.70,15057.20,15369.70,11925793792.00,118214311936.00
2013-04-18,15118.60,15469.30,14969.60,15273.80,12544444416.00,124372697088.00
2013-04-19,15606.90,16112.50,15530.00,15974.00,18640037888.00,180957855744.00
2013-04-22,16084.30,16420.80,15881.90,16224.10,17517015040.00,170941956096.00
2013-04-23,16419.50,16547.90,15796.90,15935.40,17414582272.00,169344303104.00
2013-04-24,16076.60,16606.80,15908.10,16443.30,17056161792.00,169552756736.00
2013-04-25,16588.00,16876.50,16176.20,16360.60,18301444096.00,183494508544.00
2013-04-26,16229.40,16468.80,15797.60,15963.40,14265110528.00,138261086208.00
2013-05-02,15657.80,16015.40,15410.40,15812.30,12045012992.00,120101060608.00
2013-05-03,15937.70,16453.70,15854.60,16206.30,16053975040.00,160109051904.00
2013-05-06,16431.90,16855.80,16289.40,16680.20,17276360704.00,175298461696.00
2013-05-07,16706.70,17017.60,16467.70,16788.40,16127635456.00,165562351616.00
2013-05-08,16919.00,17255.00,16698.40,17025.60,17290639360.00,174928773120.00
2013-05-09,17284.40,17594.70,16928.00,17307.70,19015081984.00,199262355456.00
2013-05-10,17337.00,17716.70,17093.50,17465.80,17381586944.00,178820202496.00
2013-05-13,17502.30,17811.00,17210.80,17542.40,16634949632.00,168680030208.00
2013-05-14,17467.30,17655.30,17025.80,17263.80,16065552384.00,162922954752.00
2013-05-15,17136.30,17516.50,16960.50,17358.90,14662004736.00,153783336960.00
2013-05-16,17752.50,18271.70,17500.80,18004.20,21300000768.00,222692802560.00
2013-05-17,18439.00,18935.00,18242.50,18739.30,23440773120.00,230434471936.00
2013-05-20,19543.00,20084.30,19272.40,19781.90,26206464000.00,273410392064.00
2013-05-21,20209.40,20702.10,19951.30,20480.30,24723032064.00,254218010624.00
2013-05-22,20799.40,21173.50,20359.80,20676.00,24758374400.00,251293859840.00
2013-05-23,20858.80,21340.50,20517.30,20792.40,23837442048.00,231694483456.00
2013-05-24,20723.50,21211.80,20510.60,20993.50,19561097216.00,198900432896.00
2013-05-27,21094.30,21566.80,20828.40,21272.70,21235857408.00,221214703616.00
2013-05-28,21684.30,22100.10,21204.30,21724.80,24491210752.00,246228844544.00
2013-05-29,21870.30,22308.10,21600.60,21981.30,23295404032.00,231096008704.00
2013-05-30,21891.50,22325.80,21624.20,21986.70,21531928576.00,217576669184.00
2013-05-31,21967.40,22337.50,21549.50,21755.40,20929658880.00,215623303168.00
2013-06-03,21640.50,22048.50,21268.50,21546.10,19003521024.00,198435586048.00
2013-06-04,21446.30,21667.50,20750.10,21066.20,19955761152.00,196257153024.00
2013-06-05,20593.10,20950.20,20303.10,20687.20,14610422784.00,149204746240.00
2013-06-06,20267.60,20546.10,19845.70,20025.00,15828622336.00,158415912960.00
2013-06-07,19887.80,20167.60,19245.00,19524.30,17138983936.00,169472491520.00
2013-06-13,19179.80,19380.40,18298.10,18872.90,17106641920.00,160030261248.00
2013-06-14,18664.40,19173.40,18486.60,18987.80,15039808512.00,152385847296.00
2013-06-17,18843.70,19215.40,18483.00,18825.40,15148804096.00,160549060608.00
2013-06-18,18552.60,18876.30,18232.40,18613.70,13821777920.00,141691518976.00
2013-06-19,18254.40,18524.30,17813.40,18276.10,14633271296.00,145715576832.00
2013-06-20,17952.90,18181.80,17325.80,17452.60,14693340160.00,144941613056.00
2013-06-21,16949.90,17465.10,16556.70,17212.80,14905295872.00,141023559680.00
2013-06-24,17334.60,17478.50,16082.20,16317.40,19723143168.00,175897706496.00
2013-06-25,16628.90,17159.00,15489.80,16834.00,24590247936.00,209217241088.00
2013-06-26,16952.90,17491.80,16599.40,17294.00,19171354624.00,178596118528.00
2013-06-27,17443.30,17868.00,16921.30,17131.50,20001353728.00,185515229184.00
2013-06-28,16938.00,17588.10,16583.60,17125.50,17973504000.00,157663772672.00
2013-07-01,16826.50,17363.30,16559.50,17232.00,14818693120.00,139802918912.00
2013-07-02,17228.60,17704.20,16986.10,17496.80,16975464448.00,170265493504.00
2013-07-03,17393.60,17757.90,16956.60,17498.30,18066425856.00,175936421888.00
2013-07-04,17565.60,18170.60,17298.00,17796.90,19524642816.00,186561331200.00
2013-07-05,17756.50,18174.30,17431.30,17628.80,17628542976.00,167141883904.00
2013-07-08,17195.50,17492.10,16617.80,16861.10,16179237888.00,147379355648.00
2013-07-09,16430.10,16823.50,16187.10,16553.80,12211736576.00,114763792384.00
2013-07-10,16515.80,17147.00,16356.80,17013.20,16934206464.00,156021129216.00
2013-07-11,17712.60,18531.40,17539.70,18259.20,27937427456.00,250170703872.00
2013-07-12,18503.60,18956.90,18141.30,18363.50,22264920064.00,213732016128.00
2013-07-15,18577.40,19162.30,18383.30,18904.20,19926138880.00,199821148160.00
2013-07-16,19279.60,19702.70,18990.60,19485.20,19753254912.00,194903162880.00
2013-07-17,19490.90,19861.10,19027.40,19266.90,20376600576.00,199182172160.00
2013-07-18,19066.90,19480.80,18715.70,19073.80,18155237376.00,175990358016.00
2013-07-19,19193.40,19606.50,18565.00,18725.20,21037836288.00,206186479616.00
2013-07-22,18393.50,19032.00,18160.00,18887.90,16538421248.00,163841196032.00
2013-07-23,19131.30,19805.10,18941.10,19582.50,21801721856.00,216362598400.00
2013-07-24,19703.50,20184.80,19320.50,19878.90,21857501184.00,225078231040.00
2013-07-25,19945.00,20279.30,19331.70,19556.50,20610791424.00,209269096448.00
2013-07-26,19166.20,19569.20,18788.60,19219.90,15831746560.00,158778327040.00
2013-07-29,18842.70,19127.20,18348.40,18593.10,16141694976.00,156823388160.00
2013-07-30,18378.50,18779.40,17838.70,18300.50,15804751872.00,154964197376.00
2013-07-31,18089.50,18506.30,17814.80,18055.40,14535154688.00,141923368960.00
